31388283707.0195,14252791622.6648,372783463.995027,63001833393.1138,34645061323.105,4366368325.46118,1469633973.49344,17370152707.0215,14934775301.8903,16839055559.4474,24162514711.1822,18790105986.5492,9769861034.45253,4652635544.15055,13162209919.6383
31388283707.0195,14252791622.6648,372783463.995027,63001833393.1138,34645061323.105,4366368325.46118,1469633973.49344,17370152707.0215,14934775301.8903,16839055559.4474,24162514711.1822,18790105986.5492,9769861034.45253,4652635544.15055,13162209919.6383
31083038683.4019,14124221608.1943,346234488.579153,62814260265.1158,34337530053.3825,4326968075.92872,1469633973.49344,17319938102.0749,14820241224.1971,16563511496.1701,24033392487.3078,18655622960.9787,9668937930.16148,4627069914.56782,13041207749.2992
30789978653.871,14074115359.9275,334261371.990276,62422210465.7326,34158975910.4773,4205775899.00161,1430886715.12792,17019162448.1866,14708763006.3964,16320120849.9793,23695012979.0411,18466333237.5531,9648700185.27192,4510159116.47763,12950278331.5969
29634838090.7664,13596236604.5396,232722708.56597,60821217155.6179,33018181797.3978,3897068966.44285,1177201364.23605,15683321832.2309,14097735004.7562,15684654384.5579,22870332860.1875,17800990666.101,9455551469.15325,4311375405.96798,12577218913.8058
24499866641.2598,12399327336.4702,30507089.4593583,55105692058.1712,30692248578.1878,3052936309.04245,602749806.090918,13321112548.1475,13134684528.6105,13828177461.085,19906560938.7085,14647342071.732,8931423599.77295,3592982265.08018,11372776373.5038
3787389317.27274,6831261641.83892,14662714.3384749,26064140445.0744,20036477647.2182,259106976.62944,97320826.5051109,3661287106.48587,6955402065.45846,3244623064.46893,8014341866.19525,3681198724.60949,4717480144.45848,174003623.852976,4943198631.97716
111854087.523338,318122857.085532,10734572.8076818,131384075.036648,411812684.911379,22515296.3554376,51792969.5738439,131373636.063839,37409233.7353798,96581519.2295742,79589985.9330976,39135821.2563932,245461698.691461,75670349.7676634,735446007.219055
39749567.0145814,94080209.0518496,2249404.14938168,45471870.0615524,36250721.7994988,6817056.04883286,11320577.7231072,37469508.4444865,6106495.34956318,22649066.3819813,40963615.9121551,15687157.2974001,93829348.8069618,19461111.7760684,99411912.6054194
5472273.87313421,4849448.1311172,2078081.44568874,2763066.97435329,1581249.22067703,4220400.8978569,3656048.83857699,4829959.20456049,720724.243374514,6557561.09151386,3223765.59912863,7720211.02811136,7268396.521024,6664991.56128884,6280212.87762144
3730207.99467431,4217395.5646371,1820010.34702111,1184721.29714315,1276691.56611753,3573418.18670528,3311379.29815193,1719421.13769621,447287.171619492,6018399.29954187,2408601.49762103,6734450.24789131,6348943.50071828,4399105.90382677,4520067.48275116
1946408.87552832,3012026.36041226,614647.085357478,205762.949046249,1187235.42699302,3331266.56122711,2837384.57463426,780413.037541775,276454.320217144,4392517.23338765,1686754.81960099,4974228.65965469,3815750.54584285,4183000.33321181,2557463.88879441
1909864.96331513,1859468.16268389,476581.691303876,187314.136680789,1186734.44248409,3321268.85539348,2834442.71869482,523027.621174414,272759.373429638,4381633.34394815,1251020.52075262,3347056.73016014,3814712.2300496,4181983.86779052,1812246.41705553
1909858.21992114,1742570.47693903,475263.700842033,187313.976618706,1186734.43624647,3321262.24942057,2834442.70266969,513402.842054245,272758.575766735,4381632.94072652,1232287.59951793,2884180.19293779,3814712.23002626,4181983.86778991,1782900.94938885
1909858.21992114,1742249.21717763,475263.700842033,187313.976618706,1186734.43624647,3321262.24942044,2834442.70266969,513397.654495435,272758.575766735,4381632.94072652,1232277.15931447,2863798.04938196,3814712.23002626,4181983.86778991,1782880.28084363
1909858.21992114,1742249.21616654,475263.700842033,187313.976618706,1186734.43624647,3321262.24942044,2834442.70266969,513397.654495435,272758.575766735,4381632.94072652,1232277.15931447,2863782.66114446,3814712.23002626,4181983.86778991,1782880.28084263
