1547564.57628663,4049232.54416565,8895152.89471328,23510296.2093346,4268686.99644559,4461170.10398051,4560990.59141691,9600040.75997992,124604.602560236,4932379.81183984,8094024.93440139,5797953.84371741,12843463.4791487,2822768.418598,298774.561583217
1333157.47744181,1519317.76161324,3254817.75232219,6019964.20765808,1838697.26875102,1524769.33129324,2447306.65145803,6637577.28440839,86841.4922757601,535927.285379239,1046790.07208558,2113164.11595707,9512490.34627353,990431.777405856,164584.350351125
551912.760449001,674010.622688243,2049367.28560409,338314.835348037,312250.05470433,278290.747911883,315111.649035844,849635.820227789,37480.2751653422,394899.052398609,101787.421707693,721695.586807339,8866517.95493891,319423.136320566,104209.3056831
177208.403614564,279168.183212204,990871.190522522,216796.864192918,103807.510851434,192476.676221812,124762.458658985,840276.808315435,32686.0594589233,222744.290048603,69146.6134717389,354489.985824855,8372877.55985036,318103.449322451,61908.32692244
67611.1463726115,277435.195783349,602664.919992023,151862.575877476,89558.6915653696,48122.1351131731,110933.691740084,61320.1165654409,32096.6124898184,174820.05576932,58876.6370480056,194698.029594684,815320.787362172,173778.724962374,59481.1389449094
63869.8029297578,88883.4559077133,594440.650379842,20992.0029312471,87062.7870701856,48042.5172313617,105144.725839842,18488.8481603331,32090.2011329475,174697.300565415,57606.8529009969,190870.454899633,814521.059340837,152669.784185348,51016.4231012907
63869.8029297578,88883.4514005701,594417.244471462,20992.0029303873,87062.7870666932,48042.5172313617,104322.272270405,18433.3479045093,32090.2011329475,174697.300565415,57606.8529009969,190870.454899633,814520.92613753,152669.784184433,51016.4231012907
63869.8029297578,88883.4514005701,594417.244471462,20992.0029303491,87062.7870638627,48042.5172313617,104322.272270405,18433.3478903465,32090.2011329475,174697.300565415,57606.8529009969,190870.454899633,814520.926113192,152669.784183848,51016.4231012907
63869.8029297578,88883.4514005701,594417.244471462,20992.0029303149,87062.7870615058,48042.5172313617,104322.272270405,18433.347878509,32090.2011329475,174697.300565415,57606.8529009969,190870.454899633,814520.926113186,152669.78418346,51016.4231012907
63869.8029297578,88883.4514005701,594417.244471462,20992.0029302838,87062.787059607,48042.5172313617,104322.272270405,18433.3478688168,32090.2011329475,174697.300565415,57606.8529009969,190870.454899633,814520.926113186,152669.78418322,51016.4231012907
63869.8029297578,88883.4514005701,594417.244471462,20992.0029302548,87062.787058016,48042.5172313617,104322.272270405,18433.3478612443,32090.2011329475,174697.300565415,57606.8529009969,190870.454899633,814520.926113186,152669.78418308,51016.4231012907
63869.8029297578,88883.4514005701,594417.244471462,20992.0029302294,87062.7870567781,48042.5172313617,104322.272270405,18433.3478548308,32090.2011329475,174697.300565415,57606.8529009969,190870.454899633,814520.926113186,152669.784183065,51016.4231012907
63869.8029297578,88883.4514005701,594417.244471462,20992.0029302092,87062.7870557634,48042.5172313617,104322.272270405,18433.3478494501,32090.2011329475,174697.300565415,57606.8529009969,190870.454899633,814520.926113186,152669.784183065,51016.4231012907
63869.8029297578,88883.4514005701,594417.244471462,20992.0029301936,87062.7870549701,48042.5172313617,104322.272270405,18433.3478449275,32090.2011329475,174697.300565415,55091.229681328,190476.719676177,814520.926113186,152669.784183065,43370.5529437853
